"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 16 16:03:37 GMT 2024","Wed Oct 16 16:03:38 GMT 2024","889","","","","","","Selecting an Option in a Radio Button",""
"passed","Wed Oct 16 16:03:41 GMT 2024","Wed Oct 16 16:03:42 GMT 2024","966","","","","","","Displaying a Custom Alert with the Name",""
"passed","Wed Oct 16 16:03:43 GMT 2024","Wed Oct 16 16:03:44 GMT 2024","843","","","","","","Checking the Value of the Third item in the Price Table",""
"passed","Wed Oct 16 16:03:42 GMT 2024","Wed Oct 16 16:03:43 GMT 2024","975","","","","","","Displaying a Custom Confirm Dialog with a Custom Name",""
"passed","Wed Oct 16 16:03:33 GMT 2024","Wed Oct 16 16:03:37 GMT 2024","4014","","","","","","Opening and Verifying a Blog Page in a New Tab",""
"passed","Wed Oct 16 16:03:39 GMT 2024","Wed Oct 16 16:03:40 GMT 2024","923","","","","","","Selecting an Option from a Dropdown Menu",""
"passed","Wed Oct 16 16:03:23 GMT 2024","Wed Oct 16 16:03:33 GMT 2024","10285","","","","","","Opening and Verifying a Blog Page in a New Window",""
"passed","Wed Oct 16 16:03:45 GMT 2024","Wed Oct 16 16:03:46 GMT 2024","1040","","","","","","Toggling Visibility of a Text Box",""
"passed","Wed Oct 16 16:03:44 GMT 2024","Wed Oct 16 16:03:45 GMT 2024","1022","","","","","","Hiding a Visible Text Box",""
"passed","Wed Oct 16 16:03:21 GMT 2024","Wed Oct 16 16:03:23 GMT 2024","2121","","","","","","Navigating to a Support Link Within an Iframe",""
"passed","Wed Oct 16 16:03:40 GMT 2024","Wed Oct 16 16:03:41 GMT 2024","946","","","","","","Verifying Multiple Checkbox Selections",""
"passed","Wed Oct 16 16:03:16 GMT 2024","Wed Oct 16 16:03:21 GMT 2024","4924","","","","","","Displaying the Contextual Menu via Mouse Hover",""
"passed","Wed Oct 16 16:03:38 GMT 2024","Wed Oct 16 16:03:39 GMT 2024","951","","","","","","Choosing a Country from a Dropdown Menu",""
