"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 16 20:47:56 GMT 2024","Wed Oct 16 20:47:57 GMT 2024","836","","","","","","Verifying Multiple Checkbox Selections",""
"passed","Wed Oct 16 20:47:54 GMT 2024","Wed Oct 16 20:47:55 GMT 2024","851","","","","","","Choosing a Country from a Dropdown Menu",""
"passed","Wed Oct 16 20:47:57 GMT 2024","Wed Oct 16 20:47:58 GMT 2024","869","","","","","","Displaying a Custom Alert with the Name",""
"passed","Wed Oct 16 20:47:59 GMT 2024","Wed Oct 16 20:48:00 GMT 2024","925","","","","","","Hiding a Visible Text Box",""
"passed","Wed Oct 16 20:47:55 GMT 2024","Wed Oct 16 20:47:56 GMT 2024","819","","","","","","Selecting an Option from a Dropdown Menu",""
"passed","Wed Oct 16 20:47:38 GMT 2024","Wed Oct 16 20:47:50 GMT 2024","11816","","","","","","Opening and Verifying a Blog Page in a New Window",""
"passed","Wed Oct 16 20:47:50 GMT 2024","Wed Oct 16 20:47:53 GMT 2024","3624","","","","","","Opening and Verifying a Blog Page in a New Tab",""
"passed","Wed Oct 16 20:47:58 GMT 2024","Wed Oct 16 20:47:59 GMT 2024","709","","","","","","Checking the Value of the Third item in the Price Table",""
"passed","Wed Oct 16 20:47:58 GMT 2024","Wed Oct 16 20:47:58 GMT 2024","828","","","","","","Displaying a Custom Confirm Dialog with a Custom Name",""
"passed","Wed Oct 16 20:47:36 GMT 2024","Wed Oct 16 20:47:38 GMT 2024","1982","","","","","","Navigating to a Support Link Within an Iframe",""
"passed","Wed Oct 16 20:47:33 GMT 2024","Wed Oct 16 20:47:36 GMT 2024","3497","","","","","","Displaying the Contextual Menu via Mouse Hover",""
"passed","Wed Oct 16 20:47:53 GMT 2024","Wed Oct 16 20:47:54 GMT 2024","726","","","","","","Selecting an Option in a Radio Button",""
"passed","Wed Oct 16 20:48:00 GMT 2024","Wed Oct 16 20:48:01 GMT 2024","864","","","","","","Toggling Visibility of a Text Box",""
