"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 16 16:24:35 GMT 2024","Wed Oct 16 16:24:39 GMT 2024","4039","","","","","","Opening and Verifying a Blog Page in a New Tab",""
"passed","Wed Oct 16 16:24:25 GMT 2024","Wed Oct 16 16:24:27 GMT 2024","2207","","","","","","Navigating to a Support Link Within an Iframe",""
"passed","Wed Oct 16 16:24:27 GMT 2024","Wed Oct 16 16:24:35 GMT 2024","7482","","","","","","Opening and Verifying a Blog Page in a New Window",""
"passed","Wed Oct 16 16:24:41 GMT 2024","Wed Oct 16 16:24:41 GMT 2024","862","","","","","","Selecting an Option from a Dropdown Menu",""
"passed","Wed Oct 16 16:24:43 GMT 2024","Wed Oct 16 16:24:44 GMT 2024","875","","","","","","Displaying a Custom Confirm Dialog with a Custom Name",""
"passed","Wed Oct 16 16:24:40 GMT 2024","Wed Oct 16 16:24:41 GMT 2024","966","","","","","","Choosing a Country from a Dropdown Menu",""
"passed","Wed Oct 16 16:24:45 GMT 2024","Wed Oct 16 16:24:46 GMT 2024","1029","","","","","","Hiding a Visible Text Box",""
"passed","Wed Oct 16 16:24:39 GMT 2024","Wed Oct 16 16:24:40 GMT 2024","837","","","","","","Selecting an Option in a Radio Button",""
"passed","Wed Oct 16 16:24:42 GMT 2024","Wed Oct 16 16:24:43 GMT 2024","911","","","","","","Displaying a Custom Alert with the Name",""
"passed","Wed Oct 16 16:24:44 GMT 2024","Wed Oct 16 16:24:45 GMT 2024","719","","","","","","Checking the Value of the Third item in the Price Table",""
"passed","Wed Oct 16 16:24:41 GMT 2024","Wed Oct 16 16:24:42 GMT 2024","878","","","","","","Verifying Multiple Checkbox Selections",""
"passed","Wed Oct 16 16:24:21 GMT 2024","Wed Oct 16 16:24:25 GMT 2024","3889","","","","","","Displaying the Contextual Menu via Mouse Hover",""
"passed","Wed Oct 16 16:24:46 GMT 2024","Wed Oct 16 16:24:47 GMT 2024","947","","","","","","Toggling Visibility of a Text Box",""
