"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 18 20:19:56 GMT 2024","Fri Oct 18 20:20:00 GMT 2024","3963","","","","","","Opening and Verifying a Blog Page in a New Tab",""
"passed","Fri Oct 18 20:19:43 GMT 2024","Fri Oct 18 20:19:45 GMT 2024","2158","","","","","","Navigating to a Support Link Within an Iframe",""
"passed","Fri Oct 18 20:20:01 GMT 2024","Fri Oct 18 20:20:02 GMT 2024","1064","","","","","","Choosing a Country from a Dropdown Menu",""
"passed","Fri Oct 18 20:19:38 GMT 2024","Fri Oct 18 20:19:43 GMT 2024","4705","","","","","","Displaying the Contextual Menu via Mouse Hover",""
"passed","Fri Oct 18 20:20:04 GMT 2024","Fri Oct 18 20:20:05 GMT 2024","1019","","","","","","Displaying a Custom Alert with the Name",""
"passed","Fri Oct 18 20:19:45 GMT 2024","Fri Oct 18 20:19:56 GMT 2024","11558","","","","","","Opening and Verifying a Blog Page in a New Window",""
"passed","Fri Oct 18 20:20:08 GMT 2024","Fri Oct 18 20:20:09 GMT 2024","935","","","","","","Toggling Visibility of a Text Box",""
"passed","Fri Oct 18 20:20:00 GMT 2024","Fri Oct 18 20:20:01 GMT 2024","899","","","","","","Selecting an Option in a Radio Button",""
"passed","Fri Oct 18 20:20:02 GMT 2024","Fri Oct 18 20:20:03 GMT 2024","852","","","","","","Selecting an Option from a Dropdown Menu",""
"passed","Fri Oct 18 20:20:03 GMT 2024","Fri Oct 18 20:20:04 GMT 2024","945","","","","","","Verifying Multiple Checkbox Selections",""
"passed","Fri Oct 18 20:20:07 GMT 2024","Fri Oct 18 20:20:08 GMT 2024","1047","","","","","","Hiding a Visible Text Box",""
"passed","Fri Oct 18 20:20:05 GMT 2024","Fri Oct 18 20:20:06 GMT 2024","900","","","","","","Displaying a Custom Confirm Dialog with a Custom Name",""
"passed","Fri Oct 18 20:20:06 GMT 2024","Fri Oct 18 20:20:07 GMT 2024","774","","","","","","Checking the Value of the Third item in the Price Table",""
