"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 16 21:10:43 GMT 2024","Wed Oct 16 21:10:44 GMT 2024","921","","","","","","Displaying a Custom Alert with the Name",""
"passed","Wed Oct 16 21:10:35 GMT 2024","Wed Oct 16 21:10:39 GMT 2024","4177","","","","","","Opening and Verifying a Blog Page in a New Tab",""
"passed","Wed Oct 16 21:10:39 GMT 2024","Wed Oct 16 21:10:40 GMT 2024","828","","","","","","Selecting an Option in a Radio Button",""
"passed","Wed Oct 16 21:10:41 GMT 2024","Wed Oct 16 21:10:42 GMT 2024","879","","","","","","Selecting an Option from a Dropdown Menu",""
"passed","Wed Oct 16 21:10:40 GMT 2024","Wed Oct 16 21:10:41 GMT 2024","871","","","","","","Choosing a Country from a Dropdown Menu",""
"passed","Wed Oct 16 21:10:17 GMT 2024","Wed Oct 16 21:10:21 GMT 2024","4303","","","","","","Displaying the Contextual Menu via Mouse Hover",""
"passed","Wed Oct 16 21:10:45 GMT 2024","Wed Oct 16 21:10:45 GMT 2024","752","","","","","","Checking the Value of the Third item in the Price Table",""
"passed","Wed Oct 16 21:10:46 GMT 2024","Wed Oct 16 21:10:47 GMT 2024","933","","","","","","Toggling Visibility of a Text Box",""
"passed","Wed Oct 16 21:10:42 GMT 2024","Wed Oct 16 21:10:43 GMT 2024","878","","","","","","Verifying Multiple Checkbox Selections",""
"passed","Wed Oct 16 21:10:23 GMT 2024","Wed Oct 16 21:10:35 GMT 2024","12226","","","","","","Opening and Verifying a Blog Page in a New Window",""
"passed","Wed Oct 16 21:10:45 GMT 2024","Wed Oct 16 21:10:46 GMT 2024","971","","","","","","Hiding a Visible Text Box",""
"passed","Wed Oct 16 21:10:44 GMT 2024","Wed Oct 16 21:10:45 GMT 2024","872","","","","","","Displaying a Custom Confirm Dialog with a Custom Name",""
"passed","Wed Oct 16 21:10:21 GMT 2024","Wed Oct 16 21:10:23 GMT 2024","1988","","","","","","Navigating to a Support Link Within an Iframe",""
