"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 18 01:09:08 GMT 2024","Fri Oct 18 01:09:09 GMT 2024","915","","","","","","Verifying Multiple Checkbox Selections",""
"passed","Fri Oct 18 01:09:05 GMT 2024","Fri Oct 18 01:09:06 GMT 2024","865","","","","","","Selecting an Option in a Radio Button",""
"passed","Fri Oct 18 01:09:07 GMT 2024","Fri Oct 18 01:09:08 GMT 2024","909","","","","","","Selecting an Option from a Dropdown Menu",""
"passed","Fri Oct 18 01:09:09 GMT 2024","Fri Oct 18 01:09:10 GMT 2024","948","","","","","","Displaying a Custom Confirm Dialog with a Custom Name",""
"passed","Fri Oct 18 01:08:50 GMT 2024","Fri Oct 18 01:09:01 GMT 2024","11378","","","","","","Opening and Verifying a Blog Page in a New Window",""
"passed","Fri Oct 18 01:09:06 GMT 2024","Fri Oct 18 01:09:07 GMT 2024","939","","","","","","Choosing a Country from a Dropdown Menu",""
"passed","Fri Oct 18 01:08:48 GMT 2024","Fri Oct 18 01:08:50 GMT 2024","2200","","","","","","Navigating to a Support Link Within an Iframe",""
"passed","Fri Oct 18 01:09:09 GMT 2024","Fri Oct 18 01:09:09 GMT 2024","948","","","","","","Displaying a Custom Alert with the Name",""
"passed","Fri Oct 18 01:09:12 GMT 2024","Fri Oct 18 01:09:13 GMT 2024","916","","","","","","Toggling Visibility of a Text Box",""
"passed","Fri Oct 18 01:09:10 GMT 2024","Fri Oct 18 01:09:11 GMT 2024","825","","","","","","Checking the Value of the Third item in the Price Table",""
"passed","Fri Oct 18 01:09:01 GMT 2024","Fri Oct 18 01:09:05 GMT 2024","3629","","","","","","Opening and Verifying a Blog Page in a New Tab",""
"passed","Fri Oct 18 01:08:44 GMT 2024","Fri Oct 18 01:08:48 GMT 2024","4056","","","","","","Displaying the Contextual Menu via Mouse Hover",""
"passed","Fri Oct 18 01:09:11 GMT 2024","Fri Oct 18 01:09:12 GMT 2024","995","","","","","","Hiding a Visible Text Box",""
